year,song,artist,spotifyid,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo 
1960,Theme From "The Apartment",Charles Williams,37UxQONhYhMJ2F9SX9fhHW,0.383,0.275,0.0277,0.884,0.941,0.146,0.12,95.786
1960,Volare - Re-Recording,Bobby Rydell,4CesyQALlJgGYRrAvrx55U,0.647,0.655,0.128,0.638,4.93e-05,0.244,0.563,126.618
1960,A Million To One,Jimmy Charles,0f4BsvH2nrQYNlURk3nPk3,0.283,0.327,0.0336,0.567,0,0.19,0.415,102.545
1960,The Village of St. Bernadette,Andy Williams,593RSZzEZogtwSAq2AU8Lf,0.135,0.227,0.0317,0.831,4.5e-06,0.359,0.29,174.449
1960,White Silver Sands,Bill Black's Combo,4hXgqlhIInOYiOzBK2S1sN,0.861,0.531,0.0433,0.635,0.723,0.068,0.962,117.187
1960,The Old Lamplighter,The Browns,0W3nMTF5gSgzVwddfUU9Ve,0.558,0.149,0.0325,0.961,9.75e-06,0.101,0.507,91.785
1960,Devil Or Angel,Bobby Vee,0dx2fU89AiazJ1zqW43XRE,0.571,0.283,0.0318,0.702,0,0.0998,0.596,113.091
1960,Down By The Station,The Four Preps,7LjYA5GUD9CLNmdYqRVIdS,0.873,0.413,0.0853,0.725,0.000469,0.0605,0.967,122.015
1960,Forever,Little Dippers,4sN4OrS1dWZBo18IxzoKbN,0.533,0.364,0.026,0.392,0.00013,0.109,0.575,72.039
1960,Image Of A Girl,The Safaris,78hr1LxCs9x51GtLU82708,0.247,0.359,0.0304,0.794,0,0.0699,0.449,185.652
1960,Kiddio,Brook Benton,3CO06wwoCT3tpCPBrdWAAW,0.742,0.416,0.0417,0.747,8.73e-05,0.22,0.779,112.069
1960,Mission Bell - Re-Recording,Donnie Brooks,6M8fNPuN938jj1e1DpZTQj,0.52,0.492,0.0269,0.611,1.18e-05,0.135,0.855,83.038
1960,I Love The Way You Love - Re-Recording,Marv Johnson,2st1rBXjZzIw8aFttiokur,0.835,0.611,0.0338,0.165,3.05e-05,0.0909,0.956,132.757
1960,Time To Cry,Paul Anka,0jAxhRtKl0vsnRABatOMQ4,0.411,0.365,0.0297,0.721,0,0.314,0.488,110.882
1960,Tell Laura I Love Her,Ray Peterson,44zS9qRw8FSk752N6vYXHT,0.556,0.348,0.0363,0.753,0,0.086,0.285,102.419
1960,Mama,Connie Francis,6hPlKtsqfFMKhYEzHpgrgb,0.234,0.277,0.0334,0.963,0.00827,0.541,0.113,89.172
1960,Footsteps,Steve Lawrence,1kQ3aC8JDEFAecd3H0igYA,0.516,0.432,0.0387,0.633,0,0.51,0.891,143.835
1960,So Sad (To Watch Good Love Go Bad),The Everly Brothers,0nehTUuaN88UMQwrJrD53T,0.546,0.198,0.028,0.628,0,0.279,0.388,102.39
1960,That's All You Gotta Do,Brenda Lee,2gnw1mYFp0tlAkZwj7oDnN,0.615,0.57,0.0302,0.421,2.69e-06,0.233,0.956,97.241
1960,Walkin' To New Orleans,Fats Domino,1TgogIEoiZZgHVKbU4hzQ4,0.287,0.588,0.0318,0.391,0,0.0887,0.767,86.916
1960,Among My Souvenirs,Connie Francis,0RTkpGULCWBGHFbJptu3RQ,0.478,0.453,0.0271,0.4,6.4e-06,0.126,0.443,108.043
1960,Swingin' School,Bobby Rydell,7HRdFyPvwIYCXRLiUgwu0G,0.724,0.621,0.178,0.321,0.0203,0.323,0.896,151.337
1960,A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington,6H8M8oMiheCp9ewSKVHNvM,0.793,0.489,0.0631,0.855,4.71e-05,0.212,0.958,129.915
1960,Stairway to Heaven - Remastered,Neil Sedaka,51PgB7XHoLwTRA4hUaqrqU,0.5,0.727,0.0327,0.658,0,0.249,0.898,127.927
1960,My Home Town,Paul Anka,75wzEkDy6NnSj692dA99ip,0.79,0.514,0.0362,0.223,0,0.14,0.962,117.022
1960,Georgia On My Mind,Ray Charles,4aBVXXyOczufUUHQ0n9Jdg,0.258,0.248,0.0299,0.652,0,0.16,0.196,104.834
1960,Wonderful World,Sam Cooke,1du8zXd6f3hz8cifaPL1t0,0.686,0.49,0.0359,0.748,0,0.444,0.916,128.293
1960,Tracy's Theme,Spencer Ross,1vsi4F7CDORvi2vXEazHYS,0.405,0.243,0.0337,0.96,0.709,0.0855,0.158,116.544
1960,Lady Luck,Lloyd Price,2MWxpIwgwY4wc4tFs6NyhS,0.628,0.613,0.032,0.627,0,0.249,0.745,122.256
1960,Step by Step,The Crests,0HLPxlV5d2iBY126Q2LoxI,0.408,0.602,0.0439,0.529,0,0.131,0.913,200.409
1960,Happy-Go-Lucky-Me,Paul Evans,1mEGgk5PexHpJdPJco5M3A,0.717,0.545,0.048,0.809,0.0554,0.243,0.962,93.888
1960,Young Emotions - Digitally Remastered 05,Ricky Nelson,54cJ6nIVHYwa7VuI7oau43,0.474,0.22,0.0365,0.572,6.9e-05,0.126,0.428,77.4
1960,Dreamin',Johnny Burnette,3lkD4dzxIUCOC0j7MmnQ2D,0.391,0.45,0.0419,0.442,0,0.327,0.756,74.525
1960,You Talk Too Much,Joe Jones,4sDNiFNGiXDB0tY14kO47Q,0.752,0.474,0.0393,0.72,0.00911,0.0747,0.811,123.875
1960,Beatnik Fly,Johnny & The Hurricanes,2OcqUKB9Fx9IN7nd9YW25n,0.566,0.832,0.0384,0.497,0.838,0.427,0.937,90.107
1960,Let's Think About Living,Bob Luman,1VimmYjhyPMrRE6r9qC6xb,0.611,0.685,0.108,0.396,8.96e-06,0.136,0.874,197.856
1960,Heartaches By The Number,Guy Mitchell,2SBQBV1atDy4tbEfGicT7u,0.518,0.556,0.0479,0.526,3e-06,0.0853,0.736,171.496
1960,In My Little Corner Of The World,Anita Bryant,0LUWi58l0cfc9Gm2A8Wegw,0.483,0.321,0.0281,0.845,1.58e-05,0.348,0.404,107.728
1960,Doggin Around,Jackie Wilson,35JY4nPc4o9FjtM8gNP0LP,0.566,0.243,0.0276,0.9,0.103,0.21,0.481,94.907
1960,Little Bitty Girl,Bobby Rydell,0ZqhPLdc7yEv6iADB7no3F,0.596,0.627,0.0395,0.614,0,0.14,0.838,121.156
1960,Money (That's What I Want),Barrett Strong,0QMFMQF3HoSk5WvMyx8aMT,0.665,0.806,0.0327,0.346,0,0.128,0.953,132.263
1960,Stay - Remastered 2003,Maurice Williams & The Zodiacs,39EvZWN03TxZNFMQhA0gYa,0.561,0.602,0.0369,0.792,0,0.136,0.842,119.905
1960,Lonely Weekends,Charlie Rich,0VcE7se5KgHevmsaCs2bqF,0.612,0.831,0.0507,0.872,0.00435,0.102,0.468,90.914
1960,Sandy,Larry Hall,3t9WLlI46YJsbjhB0Na76s,0.628,0.489,0.0299,0.561,5.74e-05,0.22,0.63,79.49
1960,Tossin' And Turnin' - Rerecorded,Bobby Lewis,4nbfkzqJQmGOBPYyHDInF3,0.793,0.44,0.0766,0.436,1.01e-06,0.0564,0.98,142.676
1960,I Fall To Pieces,Patsy Cline,5U2uhwJseYO7eH5nEwPb8z,0.473,0.376,0.0282,0.776,0,0.163,0.538,111.213
1960,Michael,Michael,624RgBQtIm3147GMl9FNCl,0.52,0.0979,0.0301,0.839,6.18e-06,0.183,0.648,107.527
1961,Tossin' And Turnin',Bobby Lewis,79s3pSe1u6ggQBEwVPm58Z,0.569,0.722,0.0393,0.225,0,0.108,0.965,142.736
1961,I Fall To Pieces - Live,Patsy Cline,5pMDdCcz7lidCkK7ya1fVF,0.499,0.432,0.0306,0.974,0.00388,0.394,0.688,113.669
1961,Michael (Row The Boat Ashore),The Highway Men,25TcXSVruQ3Oox1RyqRCFf,0.52,0.127,0.0293,0.87,1.21e-06,0.191,0.641,107.397
1961,Crying,Roy Orbison,6eLL7QTdMWdhhG4i3jHDR9,0.35,0.293,0.0258,0.758,8.21e-06,0.104,0.162,96.685
1961,Runaway,Del Shannon,01qiuRcLpJcFJBXUoSkn5p,0.584,0.563,0.0455,0.137,1.83e-05,0.174,0.667,78.674
1961,My True Story - Digitally Remastered,The Jive Five,3V3FNxI4qfqtJUN6NYfE81,0.254,0.465,0.0325,0.768,0,0.315,0.642,183.362
1961,Pony Time,Chubby Checker,6iyQO1taeQnGA7XeKTev8Z,0.456,0.635,0.0284,0.00928,4.44e-06,0.128,0.897,77.353
1961,Wheels,The String-A-Longs,789lq0oHhOa4pHh2y9rjkN,0.787,0.623,0.0359,0.689,0.0932,0.144,0.869,128.327
1961,Raindrops,Dee Clark,08SPo1TEDYSRi7rJOEN5Mj,0.342,0.653,0.0567,0.554,2.03e-06,0.336,0.651,120.984
1961,Wooden Heart,Joe Dowell,58VIttPKHXnQQUnlq7OWmp,0.631,0.301,0.0654,0.736,1.98e-05,0.105,0.93,166.068
1961,Calcutta,Lawrence Welk,3eajzrohXKD4WW393kRmDp,0.479,0.52,0.0257,0.833,0.911,0.208,0.96,82.024
1961,Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,1MR7XamWS0XH6vZxeeRdE0,0.491,0.431,0.0609,0.698,0,0.124,0.661,82.443
1961,Running Scared,Roy Orbison,6sbj89WozjblBMa5u41orw,0.572,0.392,0.0325,0.778,0.000435,0.15,0.381,128.255
1961,Dedicated To The One I Love,The Shirelles,0gcJYi0reGtzqF3WzQHG0I,0.459,0.191,0.0341,0.8,0,0.164,0.537,80.351
1961,Last Night,The Mar-Keys,7H22uQMwKWl43uagzO4Pnn,0.723,0.565,0.0386,0.448,0.866,0.0708,0.859,126.588
1961,Will You Love Me Tomorrow,The Shirelles,2kNYcE79Yu778nqdOgBHEb,0.49,0.384,0.0275,0.438,3.17e-05,0.539,0.47,137.047
1961,Exodus (Theme From Otto Preminger's "Exodus"),Ernest Gold,4pKUJwmq9mYcs1KNUsqAHH,0.477,0.231,0.0259,0.857,0.497,0.0638,0.246,98.226
1961,Where The Boys Are,Connie Francis,4UNRqPzaVVim2E5VN7ICwX,0.397,0.316,0.0302,0.721,0,0.221,0.434,72.483
1961,Hit The Road Jack,Ray Charles,7sXxvOVFtMr31xj0kX9BFV,0.593,0.752,0.0313,0.0841,0.00308,0.197,0.935,172.087
1961,Sad Movies Make Me Cry,Sue Thompson,5PYEBQrRHWoMuRr5Ers9vR,0.61,0.272,0.0286,0.888,7.11e-06,0.245,0.608,107.116
